Date,Open,High,Low,Close,Adj Close,Volume
06-12-2012,2.33,2.39,2.27,2.34,2.34,22223500
07-12-2012,2.38,2.39,2.29,2.36,2.36,34202800
10-12-2012,2.35,2.39,2.31,2.32,2.32,10015500
11-12-2012,2.34,2.36,2.3,2.33,2.33,14745400
12-12-2012,2.37,2.44,2.36,2.37,2.37,24565900
13-12-2012,2.4,2.44,2.38,2.41,2.41,25069800
14-12-2012,2.43,2.44,2.39,2.39,2.39,16552900
17-12-2012,2.41,2.46,2.39,2.46,2.46,15273300
18-12-2012,2.5,2.53,2.47,2.52,2.52,26636300
19-12-2012,2.55,2.57,2.49,2.52,2.52,20586800
20-12-2012,2.53,2.53,2.37,2.4,2.4,24819400
21-12-2012,2.33,2.59,2.25,2.59,2.59,40732900
24-12-2012,2.54,2.57,2.47,2.48,2.48,9625400
26-12-2012,2.49,2.53,2.42,2.43,2.43,12798000
27-12-2012,2.42,2.43,2.34,2.39,2.39,18485500
28-12-2012,2.3,2.36,2.25,2.28,2.28,26210200
31-12-2012,2.29,2.42,2.28,2.4,2.4,20698200
02-01-2013,2.55,2.57,2.45,2.53,2.53,27214800
03-01-2013,2.52,2.59,2.46,2.49,2.49,24966900
04-01-2013,2.51,2.59,2.49,2.59,2.59,22054200
07-01-2013,2.61,2.7,2.6,2.67,2.67,25575200
08-01-2013,2.72,2.76,2.64,2.67,2.67,29140800
09-01-2013,2.7,2.72,2.6,2.63,2.63,16675100
10-01-2013,2.69,2.7,2.61,2.62,2.62,19408800
11-01-2013,2.63,2.68,2.55,2.67,2.67,20032100
14-01-2013,2.68,2.7,2.62,2.64,2.64,17300300
15-01-2013,2.62,2.7,2.6,2.68,2.68,23696400
16-01-2013,2.67,2.76,2.63,2.72,2.72,31384700
17-01-2013,2.76,2.78,2.71,2.74,2.74,17872200
18-01-2013,2.65,2.68,2.43,2.46,2.46,41786200
