Date,Open,High,Low,Close,Adj Close,Volume
05-03-2002,15.3,16.02,15.21,15.74,15.74,8753800
06-03-2002,15.67,15.87,15.29,15.46,15.46,5554400
07-03-2002,15.99,16.1,15.12,15.31,15.31,6639200
08-03-2002,15.95,16.549999,15.63,16.209999,16.209999,8358400
11-03-2002,16.209999,17.280001,15.49,16.25,16.25,5610900
12-03-2002,15.69,15.85,15.53,15.75,15.75,5384100
13-03-2002,14.85,15.36,14.29,14.3,14.3,9225800
14-03-2002,14.5,14.83,14.35,14.35,14.35,5063600
15-03-2002,14.45,14.9,14.45,14.6,14.6,4455300
18-03-2002,14.9,15.09,14.7,14.82,14.82,3155400
19-03-2002,14.92,15.02,14.51,14.79,14.79,3714600
20-03-2002,14.69,14.7,14.03,14.17,14.17,6311600
21-03-2002,14.12,14.59,14.03,14.49,14.49,4211800
22-03-2002,14.65,15.05,14.52,14.76,14.76,4754900
25-03-2002,14.65,14.91,14.08,14.13,14.13,4747400
26-03-2002,14.13,14.53,14.0,14.36,14.36,3061700
27-03-2002,14.31,14.32,14.06,14.14,14.14,2116300
28-03-2002,14.24,14.78,14.18,14.71,14.71,3450700
01-04-2002,14.61,14.85,14.24,14.75,14.75,3063900
02-04-2002,14.4,14.5,14.15,14.17,14.17,3427600
03-04-2002,14.21,14.38,13.69,13.8,13.8,3957000
04-04-2002,13.79,14.04,13.58,13.76,13.76,4661600
05-04-2002,13.85,13.93,13.29,13.5,13.5,4432300
08-04-2002,13.01,13.75,12.75,13.75,13.75,6213600
09-04-2002,13.66,13.99,13.27,13.36,13.36,4846600
10-04-2002,13.42,13.52,12.88,13.5,13.5,5240000
11-04-2002,13.4,13.6,13.07,13.23,13.23,3524200
12-04-2002,13.33,13.41,13.05,13.15,13.15,3162400
15-04-2002,13.25,13.6,13.15,13.5,13.5,3336900
16-04-2002,13.95,14.45,13.85,14.35,14.35,7095800
