Date,Open,High,Low,Close,Adj Close,Volume
06-03-2014,3.72,3.75,3.71,3.73,3.73,10713000
07-03-2014,3.75,4.02,3.75,3.95,3.95,55435800
10-03-2014,4.04,4.06,3.8,3.81,3.81,42135800
11-03-2014,3.86,4.01,3.83,3.85,3.85,34951400
12-03-2014,3.86,3.93,3.85,3.91,3.91,14700500
13-03-2014,3.94,3.99,3.84,3.86,3.86,19803000
14-03-2014,3.84,3.9,3.82,3.85,3.85,18161500
17-03-2014,3.88,3.91,3.78,3.8,3.8,20004100
18-03-2014,3.82,3.91,3.81,3.89,3.89,15273700
19-03-2014,3.91,4.0,3.9,3.98,3.98,28516900
20-03-2014,3.96,4.05,3.9,4.05,4.05,23600600
21-03-2014,4.07,4.14,4.01,4.04,4.04,23871200
24-03-2014,4.05,4.14,3.98,4.05,4.05,20669500
25-03-2014,4.09,4.12,4.02,4.05,4.05,14517000
26-03-2014,4.08,4.1,4.02,4.05,4.05,14799700
27-03-2014,3.99,4.07,3.87,3.91,3.91,24532000
28-03-2014,3.93,3.97,3.87,3.88,3.88,13189200
31-03-2014,3.93,4.02,3.9,4.01,4.01,15386000
01-04-2014,4.04,4.1,4.02,4.07,4.07,18778800
02-04-2014,4.12,4.12,4.06,4.06,4.06,14839500
03-04-2014,4.07,4.1,3.97,4.0,4.0,16802300
04-04-2014,4.03,4.11,3.92,4.01,4.01,23427000
07-04-2014,3.98,3.99,3.83,3.88,3.88,24874600
08-04-2014,3.89,4.0,3.83,3.99,3.99,17339100
09-04-2014,4.01,4.02,3.95,3.98,3.98,11270300
10-04-2014,3.97,4.01,3.84,3.85,3.85,21364300
11-04-2014,3.82,3.85,3.65,3.65,3.65,34428800
14-04-2014,3.72,3.78,3.65,3.71,3.71,22735100
15-04-2014,3.74,3.82,3.72,3.79,3.79,21754300
16-04-2014,3.81,3.83,3.73,3.76,3.76,18173300
