Date,Open,High,Low,Close,Adj Close,Volume
02-06-2010,8.26,8.54,8.11,8.54,8.54,24157900
03-06-2010,8.59,8.73,8.36,8.69,8.69,22533800
04-06-2010,8.42,8.67,8.01,8.11,8.11,37657500
07-06-2010,8.2,8.22,7.64,7.71,7.71,27240400
08-06-2010,7.75,7.88,7.42,7.77,7.77,36007300
09-06-2010,7.91,8.05,7.58,7.61,7.61,24756300
10-06-2010,7.78,8.04,7.74,8.01,8.01,27986700
11-06-2010,7.85,8.18,7.81,8.12,8.12,21054300
14-06-2010,8.31,8.45,8.24,8.28,8.28,21793500
15-06-2010,8.35,8.88,8.34,8.82,8.82,35702500
16-06-2010,8.73,9.19,8.65,8.9,8.9,33576700
17-06-2010,9.05,9.05,8.71,8.91,8.91,21712000
18-06-2010,8.92,9.05,8.77,8.83,8.83,16524200
21-06-2010,9.03,9.16,8.71,8.8,8.8,25872100
22-06-2010,8.81,9.02,8.54,8.58,8.58,23876600
23-06-2010,8.63,8.8,8.48,8.56,8.56,23040500
24-06-2010,8.51,8.57,8.05,8.13,8.13,31282200
25-06-2010,8.22,8.22,7.93,8.09,8.09,22859400
28-06-2010,8.14,8.24,7.96,8.05,8.05,21544000
29-06-2010,7.93,7.93,7.41,7.48,7.48,43861400
30-06-2010,7.58,7.65,7.3,7.32,7.32,26406200
01-07-2010,7.35,7.53,7.1,7.39,7.39,27289900
02-07-2010,7.45,7.48,7.02,7.17,7.17,26074800
06-07-2010,7.4,7.42,6.96,7.04,7.04,25868800
07-07-2010,7.04,7.41,7.04,7.39,7.39,23676900
08-07-2010,7.52,7.52,7.22,7.37,7.37,21847000
09-07-2010,7.34,7.35,7.14,7.34,7.34,20373000
12-07-2010,7.38,7.6,7.32,7.36,7.36,36053000
13-07-2010,7.6,7.69,7.43,7.52,7.52,39013900
14-07-2010,7.82,7.82,7.33,7.44,7.44,49139700
