Date,Open,High,Low,Close,Adj Close,Volume
08-06-2009,4.58,4.67,4.5,4.61,4.61,12342400
09-06-2009,4.7,4.8,4.68,4.75,4.75,18767500
10-06-2009,4.81,4.86,4.7,4.82,4.82,18322600
11-06-2009,4.83,4.87,4.68,4.7,4.7,15847200
12-06-2009,4.75,4.79,4.33,4.47,4.47,39939500
15-06-2009,4.39,4.45,4.21,4.26,4.26,27471700
16-06-2009,4.3,4.35,4.1,4.13,4.13,27530400
17-06-2009,4.13,4.17,3.86,4.08,4.08,32809400
18-06-2009,4.03,4.07,3.81,3.85,3.85,29208700
19-06-2009,3.92,3.98,3.86,3.87,3.87,20840700
22-06-2009,3.84,3.86,3.61,3.62,3.62,21564900
23-06-2009,3.67,3.69,3.43,3.55,3.55,21411900
24-06-2009,3.63,3.78,3.6,3.66,3.66,19674200
25-06-2009,3.62,3.68,3.53,3.64,3.64,14595100
26-06-2009,3.69,3.71,3.62,3.62,3.62,16782600
29-06-2009,3.72,3.78,3.65,3.72,3.72,14889100
30-06-2009,3.77,3.98,3.74,3.87,3.87,24129800
01-07-2009,3.93,4.05,3.88,3.91,3.91,25970300
02-07-2009,3.84,3.89,3.76,3.78,3.78,13415300
06-07-2009,3.74,3.77,3.5,3.55,3.55,26785900
07-07-2009,3.63,3.63,3.35,3.43,3.43,20511800
08-07-2009,3.43,3.49,3.22,3.36,3.36,32725000
09-07-2009,3.43,3.56,3.38,3.48,3.48,19995600
10-07-2009,3.43,3.56,3.42,3.49,3.49,13017100
13-07-2009,3.53,3.6,3.36,3.56,3.56,15494800
14-07-2009,3.59,3.61,3.49,3.55,3.55,14482300
15-07-2009,3.8,3.97,3.8,3.86,3.86,35985700
16-07-2009,3.9,3.95,3.76,3.92,3.92,18804500
17-07-2009,3.95,4.0,3.89,4.0,4.0,15920000
20-07-2009,4.03,4.18,4.0,4.17,4.17,30769400
