Date,Open,High,Low,Close,Adj Close,Volume
07-03-2007,14.02,14.22,13.9,14.1,14.1,21556900
08-03-2007,14.2,14.27,13.96,14.19,14.19,21157000
09-03-2007,14.26,14.33,14.13,14.2,14.2,19111200
12-03-2007,14.09,14.27,14.04,14.17,14.17,14612100
13-03-2007,14.04,14.12,13.76,13.94,13.94,23148300
14-03-2007,13.82,14.17,13.7,14.13,14.13,25332800
15-03-2007,14.09,14.23,13.92,13.93,13.93,14533000
16-03-2007,14.0,14.16,13.84,14.01,14.01,20088500
19-03-2007,14.01,14.01,13.66,13.72,13.72,16415900
20-03-2007,13.7,13.74,13.36,13.41,13.41,25378000
21-03-2007,13.45,14.05,13.37,13.6,13.6,48964200
22-03-2007,13.65,13.76,13.32,13.35,13.35,28363400
23-03-2007,13.35,13.62,13.35,13.5,13.5,14155900
26-03-2007,13.55,13.73,13.41,13.55,13.55,14069900
27-03-2007,13.56,13.66,13.47,13.5,13.5,13302100
28-03-2007,13.45,13.5,13.38,13.38,13.38,17688300
29-03-2007,13.45,13.46,12.96,13.08,13.08,28354400
30-03-2007,13.09,13.18,12.97,13.06,13.06,18148200
02-04-2007,13.08,13.09,12.81,12.83,12.83,16599600
03-04-2007,12.86,13.0,12.71,12.9,12.9,18179500
04-04-2007,12.81,12.87,12.67,12.71,12.71,15527600
05-04-2007,12.68,12.87,12.6,12.86,12.86,13956400
09-04-2007,13.4,13.61,13.13,13.35,13.35,52559000
10-04-2007,13.41,13.54,13.2,13.27,13.27,31496400
11-04-2007,13.26,13.38,13.15,13.19,13.19,26197800
12-04-2007,13.25,13.69,13.24,13.66,13.66,30963900
13-04-2007,13.78,13.79,13.35,13.57,13.57,29108700
16-04-2007,13.6,13.65,13.37,13.52,13.52,22926000
17-04-2007,13.48,13.62,13.41,13.47,13.47,15411600
18-04-2007,13.42,14.13,13.41,13.91,13.91,36476900
