Date,Open,High,Low,Close,Adj Close,Volume
06-09-2007,12.95,13.1,12.75,12.94,12.94,12501300
07-09-2007,12.75,12.81,12.55,12.61,12.61,13349800
10-09-2007,12.92,13.11,12.68,12.94,12.94,32134000
11-09-2007,13.06,13.09,12.86,12.97,12.97,20305100
12-09-2007,12.95,13.13,12.76,12.83,12.83,19090300
13-09-2007,12.91,12.92,12.65,12.73,12.73,14591400
14-09-2007,12.6,12.79,12.57,12.69,12.69,12684000
17-09-2007,12.85,12.96,12.7,12.84,12.84,14869000
18-09-2007,12.92,13.36,12.85,13.3,13.3,28627000
19-09-2007,13.41,13.53,13.01,13.1,13.1,28029800
20-09-2007,13.09,13.52,13.05,13.35,13.35,22660400
21-09-2007,13.43,13.48,13.19,13.24,13.24,15336800
24-09-2007,13.34,13.55,13.25,13.48,13.48,28916500
25-09-2007,13.4,13.9,13.34,13.81,13.81,21341200
26-09-2007,13.9,13.92,13.69,13.75,13.75,16308800
27-09-2007,13.76,13.77,13.22,13.28,13.28,29042300
28-09-2007,13.25,13.39,13.12,13.2,13.2,16158400
01-10-2007,13.25,13.45,13.15,13.23,13.23,18374300
02-10-2007,13.08,13.22,13.0,13.2,13.2,19151900
03-10-2007,12.97,13.29,12.8,13.23,13.23,32015100
04-10-2007,13.26,13.42,13.13,13.35,13.35,16187200
05-10-2007,13.41,13.9,13.37,13.63,13.63,21874300
08-10-2007,13.55,13.84,13.52,13.63,13.63,9863100
09-10-2007,13.67,13.82,13.5,13.79,13.79,15169700
10-10-2007,13.84,14.06,13.69,14.02,14.02,32143000
11-10-2007,14.1,14.23,13.62,13.8,13.8,28395300
12-10-2007,13.71,14.15,13.71,13.94,13.94,16004200
15-10-2007,13.9,14.06,13.81,13.98,13.98,13329800
16-10-2007,13.9,14.24,13.84,13.96,13.96,19924600
17-10-2007,14.37,14.47,13.98,14.11,14.11,23021100
