Date,Open,High,Low,Close,Adj Close,Volume
06-09-2006,25.85,26.139999,24.51,24.530001,24.530001,20874100
07-09-2006,23.889999,25.01,23.719999,24.59,24.59,31462700
08-09-2006,24.76,25.82,24.65,25.799999,25.799999,24531600
11-09-2006,25.48,26.07,25.360001,25.66,25.66,18258900
12-09-2006,26.07,26.67,25.799999,26.48,26.48,23310500
13-09-2006,26.58,27.42,26.389999,27.15,27.15,23290100
14-09-2006,26.67,27.370001,26.639999,27.02,27.02,14117800
15-09-2006,27.41,27.65,26.52,26.530001,26.530001,18196900
18-09-2006,26.58,27.51,26.52,27.32,27.32,16687500
19-09-2006,27.25,27.32,26.41,26.93,26.93,14328100
20-09-2006,27.219999,27.559999,27.049999,27.379999,27.379999,13193700
21-09-2006,27.58,27.9,26.84,26.98,26.98,16596600
22-09-2006,26.799999,26.83,25.639999,26.209999,26.209999,24657600
25-09-2006,26.4,27.17,25.74,26.77,26.77,22638500
26-09-2006,26.6,26.809999,25.65,25.99,25.99,25080200
27-09-2006,25.85,26.51,25.27,25.32,25.32,26580300
28-09-2006,25.059999,25.299999,24.66,25.07,25.07,21517300
29-09-2006,25.33,25.5,24.780001,24.85,24.85,12730500
02-10-2006,24.67,25.049999,24.4,24.809999,24.809999,17817400
03-10-2006,24.5,24.51,23.790001,24.129999,24.129999,19087300
04-10-2006,24.1,25.1,23.950001,25.030001,25.030001,17869600
05-10-2006,24.799999,25.24,24.6,25.110001,25.110001,17304500
06-10-2006,24.66,24.799999,23.959999,24.01,24.01,17299800
09-10-2006,24.25,24.620001,22.950001,23.0,23.0,34081800
10-10-2006,23.209999,23.73,22.870001,23.139999,23.139999,27698100
11-10-2006,23.08,24.559999,22.870001,24.27,24.27,29329600
12-10-2006,24.450001,24.719999,24.040001,24.690001,24.690001,19510400
13-10-2006,24.57,25.4,24.57,25.23,25.23,19364900
16-10-2006,25.35,25.690001,25.139999,25.379999,25.379999,17730800
17-10-2006,24.82,24.9,24.07,24.48,24.48,22547600
