Date,Open,High,Low,Close,Adj Close,Volume
12-06-2017,11.75,12.35,11.27,12.09,12.09,125781800
13-06-2017,12.33,12.48,11.67,11.96,11.96,87302300
14-06-2017,11.91,12.05,11.65,11.77,11.77,51909400
15-06-2017,11.34,11.58,11.21,11.5,11.5,61666000
16-06-2017,11.66,11.83,11.28,11.44,11.44,59779500
19-06-2017,11.63,12.12,11.62,11.93,11.93,61803600
20-06-2017,12.19,12.93,12.18,12.64,12.64,118001500
21-06-2017,13.36,14.01,13.13,13.98,13.98,188796100
22-06-2017,14.1,14.5,13.56,14.38,14.38,149594200
23-06-2017,14.15,14.67,13.9,14.17,14.17,200777300
26-06-2017,14.39,14.49,13.84,14.08,14.08,101012500
27-06-2017,13.76,14.04,13.37,13.4,13.4,89319700
28-06-2017,13.65,13.7,13.09,13.23,13.23,85266900
29-06-2017,13.06,13.15,12.45,12.6,12.6,87634400
30-06-2017,12.57,12.83,12.36,12.48,12.48,59267400
03-07-2017,12.57,12.73,12.13,12.15,12.15,39929100
05-07-2017,12.36,13.21,12.32,13.19,13.19,99450200
06-07-2017,12.94,13.32,12.67,13.02,13.02,88927800
07-07-2017,13.27,13.75,13.18,13.36,13.36,88392100
10-07-2017,13.61,13.88,13.27,13.81,13.81,78320200
11-07-2017,13.77,14.1,13.62,13.89,13.89,71102300
12-07-2017,14.17,14.39,13.96,14.29,14.29,78508400
13-07-2017,14.33,14.49,13.43,13.53,13.53,111656900
14-07-2017,13.46,13.93,13.32,13.92,13.92,82084600
17-07-2017,14.03,14.12,13.51,13.8,13.8,71690800
18-07-2017,13.29,13.53,13.15,13.48,13.48,78366500
19-07-2017,13.62,13.74,13.41,13.55,13.55,51957800
20-07-2017,13.61,13.89,13.45,13.8,13.8,47707500
21-07-2017,13.7,14.05,13.62,13.88,13.88,51045700
24-07-2017,14.0,14.44,13.97,14.16,14.16,71014900
