Date,Open,High,Low,Close,Adj Close,Volume
04-12-2003,17.309999,17.440001,16.059999,16.66,16.66,21238300
05-12-2003,16.379999,16.379999,15.75,16.07,16.07,13691900
08-12-2003,15.93,16.200001,15.51,15.74,15.74,13274400
09-12-2003,16.190001,16.190001,14.76,14.92,14.92,17662500
10-12-2003,14.8,15.01,14.39,14.68,14.68,20186000
11-12-2003,14.75,15.25,14.66,15.19,15.19,14072700
12-12-2003,15.25,15.38,14.82,15.27,15.27,11255900
15-12-2003,15.8,15.8,14.68,14.73,14.73,10951600
16-12-2003,14.75,14.86,14.05,14.36,14.36,15267600
17-12-2003,14.36,14.36,13.8,13.99,13.99,20998300
18-12-2003,14.13,14.68,14.11,14.56,14.56,21272900
19-12-2003,14.6,14.86,14.19,14.26,14.26,13115700
22-12-2003,14.16,14.38,14.08,14.23,14.23,7244300
23-12-2003,14.27,14.67,14.23,14.67,14.67,7530100
24-12-2003,14.67,14.79,14.46,14.51,14.51,3879900
26-12-2003,14.54,14.75,14.54,14.7,14.7,1825600
29-12-2003,14.95,15.33,14.9,15.28,15.28,9114500
30-12-2003,15.33,15.47,14.12,15.11,15.11,8322600
31-12-2003,15.2,15.2,14.81,14.9,14.9,7395900
02-01-2004,15.1,15.11,14.77,14.86,14.86,8220700
05-01-2004,15.05,15.27,15.01,15.2,15.2,9156000
06-01-2004,15.21,15.82,15.05,15.61,15.61,14592200
07-01-2004,15.78,15.99,15.49,15.66,15.66,15329300
08-01-2004,15.95,16.0,15.59,15.93,15.93,11764600
09-01-2004,15.74,15.8,15.4,15.54,15.54,14421800
12-01-2004,15.7,15.77,15.44,15.77,15.77,8306700
13-01-2004,15.84,15.85,15.14,15.19,15.19,12812000
14-01-2004,15.35,15.37,15.11,15.2,15.2,13103400
15-01-2004,15.25,15.92,15.14,15.9,15.9,15471500
16-01-2004,16.01,17.08,15.9,16.76,16.76,25060000
