Date,Open,High,Low,Close,Adj Close,Volume
05-12-2013,3.56,3.65,3.55,3.64,3.64,14465700
06-12-2013,3.67,3.7,3.63,3.66,3.66,15825300
09-12-2013,3.66,3.7,3.63,3.63,3.63,10470700
10-12-2013,3.63,3.78,3.6,3.72,3.72,29571500
11-12-2013,3.74,3.77,3.66,3.68,3.68,13436700
12-12-2013,3.68,3.75,3.65,3.69,3.69,10013900
13-12-2013,3.7,3.72,3.65,3.69,3.69,9074200
16-12-2013,3.64,3.66,3.51,3.59,3.59,22228600
17-12-2013,3.6,3.67,3.58,3.65,3.65,14836400
18-12-2013,3.64,3.67,3.6,3.65,3.65,12658100
19-12-2013,3.64,3.68,3.6,3.65,3.65,10419000
20-12-2013,3.64,3.7,3.64,3.69,3.69,12762700
23-12-2013,3.74,3.78,3.72,3.75,3.75,14531000
24-12-2013,3.77,3.8,3.75,3.77,3.77,5798900
26-12-2013,3.8,3.85,3.79,3.8,3.8,9887600
27-12-2013,3.82,3.83,3.76,3.78,3.78,8248800
30-12-2013,3.79,3.88,3.78,3.85,3.85,17519300
31-12-2013,3.87,3.88,3.83,3.87,3.87,12347800
02-01-2014,3.85,3.98,3.84,3.95,3.95,20548400
03-01-2014,3.98,4.0,3.88,4.0,4.0,22887200
06-01-2014,4.01,4.18,3.99,4.13,4.13,42398300
07-01-2014,4.19,4.25,4.11,4.18,4.18,42932100
08-01-2014,4.23,4.26,4.14,4.18,4.18,30678700
09-01-2014,4.2,4.23,4.05,4.09,4.09,30667600
10-01-2014,4.09,4.2,4.07,4.17,4.17,20840800
13-01-2014,4.19,4.2,4.09,4.13,4.13,22856100
14-01-2014,4.14,4.3,4.13,4.3,4.3,42434800
15-01-2014,4.34,4.6,4.32,4.47,4.47,66613100
16-01-2014,4.5,4.51,4.32,4.38,4.38,46975600
17-01-2014,4.15,4.35,4.11,4.18,4.18,45842700
