Date,Open,High,Low,Close,Adj Close,Volume
08-12-2008,2.25,2.3,2.02,2.1,2.1,22646800
09-12-2008,2.05,2.29,2.01,2.27,2.27,22851700
10-12-2008,2.27,2.3,2.19,2.2,2.2,11249400
11-12-2008,2.17,2.28,2.1,2.2,2.2,10983700
12-12-2008,2.11,2.32,2.05,2.28,2.28,14410300
15-12-2008,2.26,2.35,2.15,2.21,2.21,6394000
16-12-2008,2.28,2.28,2.15,2.25,2.25,10886700
17-12-2008,2.21,2.3,2.18,2.29,2.29,8320600
18-12-2008,2.26,2.34,2.2,2.23,2.23,12656000
19-12-2008,2.33,2.33,2.18,2.27,2.27,13520700
22-12-2008,2.26,2.26,1.93,2.02,2.02,16351900
23-12-2008,2.07,2.08,1.95,1.96,1.96,10138300
24-12-2008,1.98,2.03,1.97,1.99,1.99,2912200
26-12-2008,2.1,2.21,2.04,2.18,2.18,9514300
29-12-2008,2.26,2.27,2.06,2.1,2.1,10998500
30-12-2008,2.13,2.21,2.1,2.21,2.21,10266000
31-12-2008,2.2,2.2,2.11,2.16,2.16,10226500
02-01-2009,2.19,2.43,2.17,2.38,2.38,13832100
05-01-2009,2.37,2.68,2.35,2.67,2.67,19326900
06-01-2009,2.75,2.85,2.55,2.78,2.78,23860000
07-01-2009,2.72,2.72,2.55,2.66,2.66,14026300
08-01-2009,2.64,2.74,2.51,2.74,2.74,13413000
09-01-2009,2.79,2.83,2.63,2.69,2.69,9733000
12-01-2009,2.69,2.69,2.45,2.52,2.52,13085600
13-01-2009,2.42,2.47,2.3,2.38,2.38,21157100
14-01-2009,2.29,2.3,2.11,2.15,2.15,14821600
15-01-2009,2.15,2.3,2.05,2.26,2.26,16022500
16-01-2009,2.32,2.4,2.2,2.29,2.29,15182600
20-01-2009,2.23,2.29,2.0,2.0,2.0,12983200
21-01-2009,2.05,2.25,2.03,2.25,2.25,11915800
