Date,Open,High,Low,Close,Adj Close,Volume
08-09-2016,6.64,6.65,6.15,6.23,6.23,90814700
09-09-2016,6.23,6.24,5.85,5.9,5.9,170828000
12-09-2016,5.83,6.07,5.77,5.94,5.94,78014400
13-09-2016,5.92,5.95,5.66,5.74,5.74,50819500
14-09-2016,5.75,6.08,5.75,6.04,6.04,64251100
15-09-2016,6.09,6.2,5.95,6.02,6.02,52669500
16-09-2016,6.22,6.22,5.97,6.05,6.05,47829400
19-09-2016,6.12,6.28,6.08,6.16,6.16,37837200
20-09-2016,6.23,6.28,6.12,6.17,6.17,28990900
21-09-2016,6.2,6.32,6.14,6.29,6.29,33450000
22-09-2016,6.35,6.44,6.33,6.37,6.37,35848200
23-09-2016,6.31,6.65,6.31,6.55,6.55,61022400
26-09-2016,6.54,6.54,6.31,6.32,6.32,29875800
27-09-2016,6.45,6.58,6.29,6.54,6.54,30035900
28-09-2016,6.57,6.65,6.48,6.59,6.59,27878300
29-09-2016,6.57,6.73,6.54,6.67,6.67,30746100
30-09-2016,6.7,7.04,6.7,6.91,6.91,47453100
03-10-2016,6.95,7.15,6.87,6.95,6.95,30456700
04-10-2016,7.0,7.09,6.89,6.97,6.97,25770000
05-10-2016,6.97,7.01,6.7,6.78,6.78,31235600
06-10-2016,6.72,6.98,6.63,6.96,6.96,27059700
07-10-2016,6.92,6.96,6.62,6.75,6.75,33059000
10-10-2016,6.82,6.94,6.8,6.84,6.84,13800500
11-10-2016,6.8,6.84,6.38,6.5,6.5,32510800
12-10-2016,6.64,6.77,6.42,6.62,6.62,33592700
13-10-2016,6.5,6.54,6.24,6.49,6.49,30401700
14-10-2016,6.92,7.12,6.74,6.75,6.75,66934400
17-10-2016,6.92,6.97,6.64,6.67,6.67,24261500
18-10-2016,6.76,6.89,6.69,6.73,6.73,25314800
19-10-2016,6.7,6.8,6.57,6.77,6.77,29420200
