Date,Open,High,Low,Close,Adj Close,Volume
04-12-2007,9.6,9.64,9.22,9.25,9.25,28688300
05-12-2007,9.27,9.49,8.83,8.91,8.91,70387700
06-12-2007,8.95,9.13,8.86,9.07,9.07,30085200
07-12-2007,9.08,9.08,8.79,9.05,9.05,27084300
10-12-2007,9.12,9.34,9.05,9.18,9.18,23950700
11-12-2007,9.26,9.53,9.04,9.07,9.07,39730000
12-12-2007,9.24,9.39,8.83,8.97,8.97,39039600
13-12-2007,8.91,9.01,8.42,8.84,8.84,45747100
14-12-2007,8.85,8.85,8.42,8.43,8.43,26747600
17-12-2007,8.4,8.42,7.93,7.95,7.95,29907600
18-12-2007,8.07,8.1,7.62,7.68,7.68,39257600
19-12-2007,7.7,8.04,7.54,7.98,7.98,45774200
20-12-2007,8.1,8.11,7.91,7.97,7.97,25323100
21-12-2007,8.04,8.05,7.66,7.79,7.79,26836400
24-12-2007,7.78,7.88,7.68,7.77,7.77,9193800
26-12-2007,7.81,7.88,7.68,7.77,7.77,12431200
27-12-2007,7.74,7.78,7.51,7.53,7.53,16497600
28-12-2007,7.55,7.58,7.3,7.32,7.32,18345200
31-12-2007,7.26,7.6,7.26,7.5,7.5,19668800
02-01-2008,7.4,7.4,7.02,7.14,7.14,46057300
03-01-2008,7.15,7.18,6.75,6.77,6.77,34787400
04-01-2008,6.64,6.64,6.1,6.25,6.25,51476400
07-01-2008,6.37,6.41,6.02,6.08,6.08,32111500
08-01-2008,6.18,6.38,5.97,6.0,6.0,37271600
09-01-2008,6.06,6.06,5.31,5.53,5.53,50976000
10-01-2008,5.52,6.0,5.42,5.96,5.96,55612700
11-01-2008,6.07,6.44,6.02,6.25,6.25,41432000
14-01-2008,6.48,6.54,6.25,6.41,6.41,30007200
15-01-2008,6.28,6.35,6.01,6.12,6.12,30309700
16-01-2008,5.89,6.91,5.8,6.57,6.57,52425800
