Date,Open,High,Low,Close,Adj Close,Volume
28-05-2004,15.24,15.55,15.14,15.55,15.55,5678800
01-06-2004,15.5,15.6,15.15,15.3,15.3,5964000
02-06-2004,15.35,15.4,14.89,15.08,15.08,6467500
03-06-2004,14.95,14.95,14.58,14.59,14.59,7615400
04-06-2004,14.89,15.25,14.83,15.12,15.12,9378400
07-06-2004,15.3,15.9,15.29,15.8,15.8,9807500
08-06-2004,15.8,16.190001,15.62,16.18,16.18,9404200
09-06-2004,16.32,16.35,15.48,15.51,15.51,14821000
10-06-2004,15.66,15.8,15.46,15.75,15.75,9075100
14-06-2004,15.75,15.75,15.02,15.15,15.15,8973700
15-06-2004,15.38,15.46,15.25,15.39,15.39,6083400
16-06-2004,15.38,15.43,15.17,15.24,15.24,3871900
17-06-2004,15.18,15.2,14.73,14.76,14.76,9111700
18-06-2004,14.35,15.08,14.35,14.88,14.88,5907400
21-06-2004,14.94,15.01,14.06,14.1,14.1,15389200
22-06-2004,14.16,14.78,14.08,14.67,14.67,14416900
23-06-2004,14.88,15.45,14.76,15.4,15.4,12912100
24-06-2004,15.4,15.75,15.12,15.32,15.32,10501300
25-06-2004,15.32,15.8,15.24,15.5,15.5,9016400
28-06-2004,15.72,15.72,15.25,15.29,15.29,6420600
29-06-2004,15.72,15.96,15.54,15.82,15.82,17748600
30-06-2004,15.85,16.0,15.63,15.9,15.9,9001600
01-07-2004,15.9,15.9,15.38,15.5,15.5,9586200
02-07-2004,15.5,15.5,15.09,15.27,15.27,6543100
06-07-2004,15.0,15.03,14.65,14.81,14.81,9855100
07-07-2004,14.82,15.28,14.82,15.2,15.2,10774000
08-07-2004,15.05,15.27,14.91,15.1,15.1,8830300
09-07-2004,15.25,15.4,14.69,14.81,14.81,10410000
12-07-2004,14.71,14.71,14.23,14.43,14.43,11876600
13-07-2004,14.55,14.65,14.32,14.5,14.5,7598400
