Date,Open,High,Low,Close,Adj Close,Volume
04-06-2014,3.93,4.05,3.93,4.04,4.04,13286000
05-06-2014,4.04,4.09,4.02,4.08,4.08,13723800
06-06-2014,4.09,4.11,4.06,4.06,4.06,8466000
09-06-2014,4.05,4.1,4.04,4.07,4.07,7597200
10-06-2014,4.1,4.23,4.1,4.2,4.2,28322100
11-06-2014,4.18,4.3,4.17,4.29,4.29,20596200
12-06-2014,4.33,4.44,4.28,4.29,4.29,26709500
13-06-2014,4.36,4.39,4.24,4.28,4.28,17734600
16-06-2014,4.26,4.44,4.26,4.44,4.44,26192800
17-06-2014,4.41,4.5,4.41,4.47,4.47,19445000
18-06-2014,4.5,4.5,4.35,4.4,4.4,14702400
19-06-2014,4.42,4.45,4.33,4.36,4.36,10880500
20-06-2014,4.34,4.37,4.07,4.1,4.1,54721600
23-06-2014,4.06,4.08,3.9,4.01,4.01,49634100
24-06-2014,4.01,4.07,3.93,3.94,3.94,20402400
25-06-2014,3.95,4.0,3.94,3.96,3.96,13844700
26-06-2014,3.95,4.09,3.94,4.03,4.03,21640500
27-06-2014,4.06,4.11,4.04,4.11,4.11,16034600
30-06-2014,4.12,4.25,4.08,4.19,4.19,25850200
01-07-2014,4.21,4.26,4.17,4.22,4.22,29412600
02-07-2014,4.23,4.35,4.22,4.34,4.34,20486500
03-07-2014,4.36,4.4,4.14,4.24,4.24,22521700
07-07-2014,4.23,4.31,4.21,4.26,4.26,21165500
08-07-2014,4.25,4.3,4.1,4.22,4.22,41685800
09-07-2014,4.21,4.29,4.2,4.23,4.23,18462200
10-07-2014,4.18,4.36,4.14,4.29,4.29,39245000
11-07-2014,4.3,4.4,4.29,4.37,4.37,22425600
14-07-2014,4.44,4.65,4.39,4.64,4.64,73046000
15-07-2014,4.63,4.8,4.41,4.53,4.53,156113700
16-07-2014,4.6,4.77,4.57,4.66,4.66,61848100
