Date,Open,High,Low,Close,Adj Close,Volume
04-09-2003,10.93,11.7,10.8,11.7,11.7,15566200
05-09-2003,11.62,12.55,11.59,12.1,12.1,24609800
08-09-2003,12.21,12.59,12.21,12.45,12.45,10624400
09-09-2003,12.37,12.4,12.12,12.28,12.28,9629500
10-09-2003,12.0,12.0,11.15,11.26,11.26,23807900
11-09-2003,11.26,11.85,10.89,11.83,11.83,19657600
12-09-2003,11.94,12.33,11.51,12.16,12.16,16739500
15-09-2003,12.3,12.46,11.7,11.9,11.9,10986800
16-09-2003,11.92,12.28,11.9,12.24,12.24,9613300
17-09-2003,12.25,12.76,12.1,12.5,12.5,21714100
18-09-2003,12.3,12.8,12.25,12.79,12.79,13977900
19-09-2003,12.8,12.87,12.6,12.68,12.68,10024100
22-09-2003,12.41,12.6,12.2,12.42,12.42,9365600
23-09-2003,12.55,12.69,12.15,12.38,12.38,13677200
24-09-2003,12.53,12.53,11.5,11.55,11.55,21474100
25-09-2003,11.65,11.78,11.31,11.37,11.37,11531800
26-09-2003,11.25,11.45,10.86,10.87,10.87,13273900
29-09-2003,11.15,11.25,11.03,11.2,11.2,11762700
30-09-2003,10.52,11.34,10.52,11.11,11.11,9744800
01-10-2003,11.16,11.31,11.01,11.17,11.17,9318800
02-10-2003,11.23,11.99,11.2,11.69,11.69,13467600
03-10-2003,12.2,12.28,11.84,11.89,11.89,11827100
06-10-2003,12.1,12.22,11.91,12.16,12.16,6089300
07-10-2003,12.32,12.8,12.16,12.79,12.79,13074300
08-10-2003,12.9,13.16,12.77,12.96,12.96,13012900
09-10-2003,13.33,13.56,13.01,13.09,13.09,13610600
10-10-2003,13.28,13.36,13.06,13.24,13.24,5694400
13-10-2003,13.33,13.46,13.25,13.4,13.4,7002300
14-10-2003,13.2,13.65,13.2,13.63,13.63,9333500
15-10-2003,14.21,14.38,13.63,13.66,13.66,16131900
