Date,Open,High,Low,Close,Adj Close,Volume
05-03-2003,5.26,5.43,5.25,5.42,5.42,3131200
06-03-2003,5.41,5.41,5.25,5.32,5.32,4764700
07-03-2003,5.3,5.38,5.1,5.25,5.25,9423000
10-03-2003,5.25,5.62,5.24,5.53,5.53,9547400
11-03-2003,5.54,5.67,5.53,5.6,5.6,5696300
12-03-2003,5.48,5.58,5.37,5.52,5.52,4086200
13-03-2003,5.67,5.83,5.59,5.79,5.79,6672700
14-03-2003,5.79,5.87,5.7,5.77,5.77,3487400
17-03-2003,5.6,6.09,5.5,5.81,5.81,6813100
18-03-2003,5.94,6.55,5.94,6.55,6.55,13951500
19-03-2003,6.69,6.93,6.5,6.87,6.87,17246900
20-03-2003,6.87,7.18,6.65,7.05,7.05,11480700
21-03-2003,7.22,7.24,7.08,7.15,7.15,8103600
24-03-2003,6.9,7.07,6.54,6.59,6.59,7335300
25-03-2003,6.59,6.81,6.5,6.69,6.69,7936000
26-03-2003,6.69,6.74,6.4,6.46,6.46,8779600
27-03-2003,6.4,6.48,6.2,6.44,6.44,7834200
28-03-2003,6.38,6.44,6.15,6.22,6.22,4313300
31-03-2003,6.0,6.25,6.0,6.18,6.18,6382400
01-04-2003,6.2,6.42,6.0,6.38,6.38,9818000
02-04-2003,6.6,7.1,6.6,7.0,7.0,11176600
03-04-2003,7.19,7.4,7.15,7.2,7.2,13289900
04-04-2003,7.3,7.35,6.96,7.1,7.1,8576100
07-04-2003,7.5,7.56,7.1,7.15,7.15,7276300
08-04-2003,7.05,7.1,6.93,7.0,7.0,4373200
09-04-2003,7.0,7.19,6.88,6.92,6.92,4985200
10-04-2003,7.02,7.06,6.89,6.98,6.98,5230400
11-04-2003,7.03,7.16,6.94,7.15,7.15,7819900
14-04-2003,7.16,7.4,7.16,7.4,7.4,6829700
15-04-2003,7.4,7.71,7.33,7.6,7.6,10316200
