Date,Open,High,Low,Close,Adj Close,Volume
08-06-2011,7.72,7.89,7.54,7.62,7.62,27123800
09-06-2011,7.65,7.73,7.59,7.64,7.64,15715800
10-06-2011,7.63,7.67,7.44,7.59,7.59,14571600
13-06-2011,7.6,7.63,7.45,7.54,7.54,12446700
14-06-2011,7.67,7.79,7.61,7.67,7.67,12738700
15-06-2011,7.58,7.66,7.45,7.5,7.5,14470900
16-06-2011,7.65,7.73,7.05,7.19,7.19,48145200
17-06-2011,7.29,7.29,6.96,7.0,7.0,31095600
20-06-2011,6.96,7.0,6.72,6.89,6.89,33807900
21-06-2011,6.98,7.25,6.95,7.22,7.22,26234300
22-06-2011,7.15,7.19,7.05,7.06,7.06,17390400
23-06-2011,6.98,7.08,6.74,7.06,7.06,33904500
24-06-2011,7.02,7.03,6.86,6.9,6.9,17827700
27-06-2011,6.91,6.96,6.83,6.92,6.92,9519100
28-06-2011,6.95,7.08,6.9,6.95,6.95,20625100
29-06-2011,7.0,7.05,6.79,6.89,6.89,27292900
30-06-2011,6.93,7.12,6.9,6.99,6.99,25379100
01-07-2011,6.99,7.13,6.89,7.11,7.11,27641600
05-07-2011,7.11,7.16,7.06,7.14,7.14,16220600
06-07-2011,7.1,7.11,7.0,7.0,7.0,13087600
07-07-2011,7.08,7.2,7.05,7.15,7.15,12530200
08-07-2011,7.06,7.06,6.92,6.95,6.95,19971300
11-07-2011,6.8,6.9,6.75,6.76,6.76,26012400
12-07-2011,6.72,6.72,6.31,6.43,6.43,37605500
13-07-2011,6.49,6.63,6.4,6.48,6.48,20844400
14-07-2011,6.45,6.59,6.35,6.44,6.44,19663800
15-07-2011,6.45,6.53,6.39,6.43,6.43,12736200
18-07-2011,6.37,6.43,6.09,6.18,6.18,31233200
19-07-2011,6.29,6.55,6.23,6.48,6.48,25765100
20-07-2011,6.56,6.62,6.4,6.6,6.6,18422800
