Date,Open,High,Low,Close,Adj Close,Volume
03-06-2015,2.3,2.32,2.28,2.28,2.28,8062300
04-06-2015,2.28,2.33,2.26,2.33,2.33,11575800
05-06-2015,2.31,2.34,2.29,2.33,2.33,7349700
08-06-2015,2.31,2.33,2.29,2.31,2.31,6212900
09-06-2015,2.35,2.36,2.28,2.29,2.29,12282700
10-06-2015,2.31,2.35,2.3,2.32,2.32,8161200
11-06-2015,2.34,2.35,2.31,2.32,2.32,7671000
12-06-2015,2.31,2.33,2.3,2.31,2.31,4557600
15-06-2015,2.32,2.35,2.29,2.32,2.32,8627800
16-06-2015,2.32,2.37,2.32,2.35,2.35,9795000
17-06-2015,2.37,2.54,2.35,2.47,2.47,27497900
18-06-2015,2.5,2.59,2.48,2.52,2.52,25400200
19-06-2015,2.53,2.59,2.46,2.58,2.58,25551700
22-06-2015,2.61,2.67,2.58,2.62,2.62,19410100
23-06-2015,2.62,2.64,2.55,2.61,2.61,17919600
24-06-2015,2.6,2.66,2.57,2.62,2.62,17516700
25-06-2015,2.62,2.66,2.57,2.58,2.58,18360200
26-06-2015,2.54,2.55,2.37,2.47,2.47,97054200
29-06-2015,2.41,2.42,2.31,2.34,2.34,22971500
30-06-2015,2.43,2.43,2.35,2.4,2.4,19381300
01-07-2015,2.47,2.48,2.36,2.42,2.42,19375000
02-07-2015,2.43,2.63,2.39,2.53,2.53,31185900
06-07-2015,2.46,2.54,2.44,2.47,2.47,20349400
07-07-2015,2.04,2.14,2.02,2.09,2.09,46418700
08-07-2015,2.07,2.07,2.01,2.01,2.01,15302900
09-07-2015,2.04,2.06,1.93,1.98,1.98,23378200
10-07-2015,2.0,2.03,1.95,1.96,1.96,17520800
13-07-2015,1.97,1.99,1.95,1.96,1.96,9080900
14-07-2015,2.03,2.06,1.97,2.05,2.05,15812300
15-07-2015,2.07,2.09,1.95,1.96,1.96,13517800
