Date,Open,High,Low,Close,Adj Close,Volume
05-09-2013,3.32,3.49,3.3,3.41,3.41,23102100
06-09-2013,3.54,3.6,3.43,3.57,3.57,35974800
09-09-2013,3.63,3.72,3.62,3.69,3.69,23646200
10-09-2013,3.78,3.87,3.77,3.87,3.87,33201100
11-09-2013,3.87,3.89,3.74,3.82,3.82,24009100
12-09-2013,3.76,3.8,3.69,3.75,3.75,28947700
13-09-2013,3.75,3.87,3.72,3.83,3.83,25331400
16-09-2013,3.9,3.9,3.79,3.82,3.82,30569700
17-09-2013,3.83,3.9,3.77,3.85,3.85,25590700
18-09-2013,3.85,3.95,3.83,3.93,3.93,24046300
19-09-2013,3.96,4.0,3.92,3.95,3.95,24274700
20-09-2013,3.91,3.96,3.79,3.83,3.83,94572300
23-09-2013,3.81,3.87,3.77,3.79,3.79,20920500
24-09-2013,3.79,3.89,3.75,3.8,3.8,21462700
25-09-2013,3.82,3.94,3.79,3.91,3.91,23559200
26-09-2013,3.94,3.98,3.88,3.89,3.89,17460300
27-09-2013,3.87,3.91,3.83,3.86,3.86,11436100
30-09-2013,3.79,3.86,3.75,3.81,3.81,16556900
01-10-2013,3.82,3.94,3.81,3.86,3.86,26056400
02-10-2013,3.83,3.94,3.82,3.9,3.9,18583300
03-10-2013,3.93,3.94,3.86,3.9,3.9,25498500
04-10-2013,3.91,3.95,3.89,3.91,3.91,17134400
07-10-2013,3.87,3.91,3.83,3.86,3.86,16734000
08-10-2013,3.87,3.89,3.68,3.72,3.72,35910400
09-10-2013,3.75,3.75,3.55,3.65,3.65,36053700
10-10-2013,3.72,3.8,3.72,3.79,3.79,24019400
11-10-2013,3.78,3.85,3.75,3.83,3.83,17384600
14-10-2013,3.87,4.05,3.85,3.97,3.97,63648400
15-10-2013,4.03,4.1,4.01,4.02,4.02,52027500
16-10-2013,4.1,4.1,4.03,4.09,4.09,34138300
