Date,Open,High,Low,Close,Adj Close,Volume
05-06-2013,4.01,4.03,3.89,3.91,3.91,15404600
06-06-2013,3.87,3.94,3.81,3.94,3.94,20863700
07-06-2013,3.98,3.99,3.88,3.91,3.91,12026500
10-06-2013,3.95,4.08,3.92,4.06,4.06,32378100
11-06-2013,4.0,4.11,3.96,3.96,3.96,20201200
12-06-2013,4.0,4.03,3.9,3.9,3.9,14600100
13-06-2013,3.9,3.96,3.87,3.95,3.95,14192300
14-06-2013,3.98,4.04,3.91,3.94,3.94,14395600
17-06-2013,4.12,4.14,4.02,4.05,4.05,31973300
18-06-2013,4.1,4.11,4.05,4.09,4.09,22841700
19-06-2013,4.15,4.18,4.04,4.07,4.07,24193500
20-06-2013,4.02,4.03,3.86,3.87,3.87,26704000
21-06-2013,3.97,4.04,3.9,4.0,4.0,32752000
24-06-2013,4.07,4.09,3.99,4.05,4.05,29135600
25-06-2013,4.11,4.15,4.06,4.15,4.15,26642400
26-06-2013,4.2,4.21,4.12,4.14,4.14,19841200
27-06-2013,4.19,4.19,4.06,4.08,4.08,17426100
28-06-2013,4.08,4.12,4.02,4.08,4.08,13329600
01-07-2013,4.11,4.13,4.07,4.1,4.1,10712200
02-07-2013,4.09,4.12,3.95,3.97,3.97,17766600
03-07-2013,4.0,4.07,3.96,4.06,4.06,11315900
05-07-2013,4.08,4.1,4.03,4.07,4.07,8965400
08-07-2013,4.08,4.09,3.98,4.0,4.0,16930900
09-07-2013,4.02,4.08,4.01,4.05,4.05,9550900
10-07-2013,4.06,4.06,3.96,3.98,3.98,19122800
11-07-2013,4.22,4.45,4.16,4.45,4.45,106975700
12-07-2013,4.48,4.5,4.26,4.32,4.32,50286600
15-07-2013,4.34,4.4,4.31,4.4,4.4,21953700
16-07-2013,4.41,4.49,4.25,4.43,4.43,39716700
17-07-2013,4.44,4.45,4.33,4.38,4.38,17002100
