Date,Open,High,Low,Close,Adj Close,Volume
03-12-2015,2.25,2.31,2.2,2.23,2.23,7059900
04-12-2015,2.23,2.29,2.21,2.28,2.28,4572600
07-12-2015,2.26,2.36,2.21,2.36,2.36,8479600
08-12-2015,2.34,2.4,2.25,2.39,2.39,9055500
09-12-2015,2.37,2.4,2.32,2.35,2.35,8710000
10-12-2015,2.36,2.5,2.33,2.45,2.45,13069400
11-12-2015,2.41,2.47,2.36,2.36,2.36,11890000
14-12-2015,2.36,2.39,2.3,2.34,2.34,7625700
15-12-2015,2.35,2.43,2.32,2.36,2.36,7423900
16-12-2015,2.39,2.55,2.37,2.54,2.54,19543600
17-12-2015,2.52,2.6,2.52,2.56,2.56,11374100
18-12-2015,2.51,2.55,2.42,2.45,2.45,17988100
21-12-2015,2.47,2.53,2.43,2.53,2.53,6876600
22-12-2015,2.55,2.78,2.54,2.77,2.77,24893200
23-12-2015,2.76,2.94,2.75,2.83,2.83,30365300
24-12-2015,2.88,3.0,2.86,2.92,2.92,11890900
28-12-2015,2.91,3.02,2.86,3.0,3.0,16050500
29-12-2015,3.04,3.06,2.97,3.0,3.0,15300900
30-12-2015,2.99,3.04,2.93,2.98,2.98,10046600
31-12-2015,2.97,3.01,2.87,2.87,2.87,11086100
04-01-2016,2.77,2.82,2.63,2.77,2.77,32516800
05-01-2016,2.77,2.8,2.64,2.75,2.75,12972300
06-01-2016,2.66,2.71,2.47,2.51,2.51,23759400
07-01-2016,2.43,2.48,2.26,2.28,2.28,22203500
08-01-2016,2.36,2.42,2.1,2.14,2.14,31822400
11-01-2016,2.16,2.36,2.12,2.34,2.34,19629300
12-01-2016,2.4,2.46,2.28,2.39,2.39,17986100
13-01-2016,2.4,2.45,2.21,2.25,2.25,12749700
14-01-2016,2.29,2.35,2.21,2.21,2.21,15666600
15-01-2016,2.1,2.13,1.99,2.03,2.03,21199300
